Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,009192,2006,05,11.6
IDCJAC0003,009192,2006,06,10.1
IDCJAC0003,009192,2006,07,10.2
IDCJAC0003,009192,2006,08,12.8
IDCJAC0003,009192,2006,09,18.4
IDCJAC0003,009192,2006,10,24.3
IDCJAC0003,009192,2006,11,26.2
IDCJAC0003,009192,2006,12,30.8
IDCJAC0003,009192,2007,01,28.1
IDCJAC0003,009192,2007,02,25.0
IDCJAC0003,009192,2007,03,22.8
IDCJAC0003,009192,2007,04,15.8
IDCJAC0003,009192,2007,05,11.1
IDCJAC0003,009192,2007,06,10.0
IDCJAC0003,009192,2007,07,8.6
IDCJAC0003,009192,2007,08,12.4
IDCJAC0003,009192,2007,09,17.4
IDCJAC0003,009192,2007,10,23.2
IDCJAC0003,009192,2007,11,30.6
IDCJAC0003,009192,2007,12,27.7
IDCJAC0003,009192,2008,01,28.8
IDCJAC0003,009192,2008,02,24.9
IDCJAC0003,009192,2008,03,21.7
IDCJAC0003,009192,2008,04,15.8
IDCJAC0003,009192,2008,05,11.2
IDCJAC0003,009192,2008,06,9.5
IDCJAC0003,009192,2008,07,9.3
IDCJAC0003,009192,2008,08,15.2
IDCJAC0003,009192,2008,09,17.6
IDCJAC0003,009192,2008,10,22.0
IDCJAC0003,009192,2008,11,28.1
IDCJAC0003,009192,2008,12,30.9
IDCJAC0003,009192,2009,01,30.1
IDCJAC0003,009192,2009,02,25.8
IDCJAC0003,009192,2009,03,22.3
IDCJAC0003,009192,2009,04,16.1
IDCJAC0003,009192,2009,05,12.3
IDCJAC0003,009192,2009,06,9.0
IDCJAC0003,009192,2009,07,10.5
IDCJAC0003,009192,2009,08,13.5
IDCJAC0003,009192,2009,09,17.0
IDCJAC0003,009192,2009,10,23.3
IDCJAC0003,009192,2009,11,27.4
IDCJAC0003,009192,2009,12,31.9
IDCJAC0003,009192,2010,01,32.0
IDCJAC0003,009192,2010,02,26.5
IDCJAC0003,009192,2010,03,21.8
IDCJAC0003,009192,2010,04,16.0
IDCJAC0003,009192,2010,05,12.2
IDCJAC0003,009192,2010,06,9.8
IDCJAC0003,009192,2010,07,10.6
IDCJAC0003,009192,2010,08,13.9
IDCJAC0003,009192,2010,09,19.5
IDCJAC0003,009192,2010,10,25.6
IDCJAC0003,009192,2010,11,26.7
IDCJAC0003,009192,2010,12,28.8
IDCJAC0003,009192,2011,01,27.7
IDCJAC0003,009192,2011,02,26.4
IDCJAC0003,009192,2011,03,23.3
IDCJAC0003,009192,2011,04,16.9
IDCJAC0003,009192,2011,05,11.8
IDCJAC0003,009192,2011,06,8.9
IDCJAC0003,009192,2011,07,9.2
IDCJAC0003,009192,2011,08,14.1
IDCJAC0003,009192,2011,09,16.7
IDCJAC0003,009192,2011,10,20.7
IDCJAC0003,009192,2011,11,26.4
IDCJAC0003,009192,2011,12,27.7
IDCJAC0003,009192,2012,01,28.9
IDCJAC0003,009192,2012,02,25.3
IDCJAC0003,009192,2012,03,24.7
IDCJAC0003,009192,2012,04,15.1
IDCJAC0003,009192,2012,05,11.6
IDCJAC0003,009192,2012,06,8.5
IDCJAC0003,009192,2012,07,11.4
IDCJAC0003,009192,2012,08,14.0
IDCJAC0003,009192,2012,09,18.5
IDCJAC0003,009192,2012,10,23.5
IDCJAC0003,009192,2012,11,26.9
IDCJAC0003,009192,2012,12,29.0
IDCJAC0003,009192,2013,01,29.2
IDCJAC0003,009192,2013,02,27.2
IDCJAC0003,009192,2013,03,21.3
IDCJAC0003,009192,2013,04,13.5
IDCJAC0003,009192,2013,05,11.3
IDCJAC0003,009192,2013,06,9.9
IDCJAC0003,009192,2013,07,10.0
IDCJAC0003,009192,2013,08,12.9
IDCJAC0003,009192,2013,09,15.3
IDCJAC0003,009192,2013,10,22.9
IDCJAC0003,009192,2013,11,27.3
IDCJAC0003,009192,2013,12,30.4
IDCJAC0003,009192,2014,01,30.0
IDCJAC0003,009192,2014,02,27.4
IDCJAC0003,009192,2014,03,20.0
IDCJAC0003,009192,2014,04,15.3
IDCJAC0003,009192,2014,05,9.8
IDCJAC0003,009192,2014,06,9.5
IDCJAC0003,009192,2014,07,9.6
IDCJAC0003,009192,2014,08,12.3
IDCJAC0003,009192,2014,09,16.4
IDCJAC0003,009192,2014,10,21.8
IDCJAC0003,009192,2014,11,25.0
IDCJAC0003,009192,2014,12,30.9
IDCJAC0003,009192,2015,01,29.2
IDCJAC0003,009192,2015,02,23.8
IDCJAC0003,009192,2015,03,20.4
IDCJAC0003,009192,2015,04,14.3
IDCJAC0003,009192,2015,05,11.9
IDCJAC0003,009192,2015,06,9.9
IDCJAC0003,009192,2015,07,9.3
IDCJAC0003,009192,2015,08,12.6
IDCJAC0003,009192,2015,09,19.2
IDCJAC0003,009192,2015,10,22.0
IDCJAC0003,009192,2015,11,28.0
IDCJAC0003,009192,2015,12,29.6
IDCJAC0003,009192,2016,01,25.2
IDCJAC0003,009192,2016,02,26.7
IDCJAC0003,009192,2016,03,19.7
IDCJAC0003,009192,2016,04,13.7
IDCJAC0003,009192,2016,05,11.5
IDCJAC0003,009192,2016,06,9.8
IDCJAC0003,009192,2016,07,10.7
IDCJAC0003,009192,2016,08,12.6
IDCJAC0003,009192,2016,09,16.9
IDCJAC0003,009192,2016,10,22.5
IDCJAC0003,009192,2016,11,28.3
IDCJAC0003,009192,2016,12,29.3
IDCJAC0003,009192,2017,01,27.0
IDCJAC0003,009192,2017,02,23.9
IDCJAC0003,009192,2017,03,19.1
IDCJAC0003,009192,2017,04,16.4
IDCJAC0003,009192,2017,05,11.8
IDCJAC0003,009192,2017,06,10.7
IDCJAC0003,009192,2017,07,9.6
IDCJAC0003,009192,2017,08,12.6
IDCJAC0003,009192,2017,09,17.1
IDCJAC0003,009192,2017,10,21.7
IDCJAC0003,009192,2017,11,28.0
IDCJAC0003,009192,2017,12,29.0
IDCJAC0003,009192,2018,01,28.1
IDCJAC0003,009192,2018,02,24.9
IDCJAC0003,009192,2018,03,19.6
IDCJAC0003,009192,2018,04,15.1
IDCJAC0003,009192,2018,05,11.8
IDCJAC0003,009192,2018,06,9.4
IDCJAC0003,009192,2018,07,10.2
IDCJAC0003,009192,2018,08,12.7
IDCJAC0003,009192,2018,09,16.6
